Title,URL
"A 2-ply minimax chess engine in 84,688 regular expressions",https://nicholas.carlini.com/writing/2025/regex-chess.html
Stimulation Clicker,https://neal.fun/stimulation-clicker/
How I program with LLMs,https://crawshaw.io/blog/programming-with-llms
The Rise of the French Fry Cartel,https://jacobin.com/2025/01/french-fry-price-fixing-antitrust/
First time a Blender-made production has won the Golden Globe,https://variety.com/2025/film/columns/flow-golden-globe-win-independent-animation-1236266805/
"Stay Gold, America",https://blog.codinghorror.com/
Triptych Proposals,https://alexanderpetros.com/triptych/
Size Optimization Tricks (2022),https://justine.lol/sizetricks/
Zig's Comptime Is Bonkers Good,https://www.scottredig.com/blog/bonkers_comptime/
NYC Congestion Pricing Tracker,https://www.congestion-pricing-tracker.com/
I live my life a quarter century at a time,https://tla.systems/blog/2025/01/04/i-live-my-life-a-quarter-century-at-a-time/
Axiom.ai (YC W21) Is Hiring a Contract Web Designer (Remote),https://www.ycombinator.com/companies/axiom-ai/jobs/DckIVG6-contract-web-designer
LLMs and Code Optimization,https://wiredream.com/llm-optimizing-digit-diff/
Self-Hostable Form Back End â€“ OSS Alternative to Formspree,https://github.com/FormBee/FormBee
An autumn bike adventure down the US portion of the Eastern Divide Trail,https://www.crazyguyonabike.com/doc/?doc_id=26078
All clocks are 30 seconds late,https://victorpoughon.fr/all-clocks-are-30-seconds-late/
Time-Series Anomaly Detection: A Decade Review,https://arxiv.org/abs/2412.20512
"Roman Empire's use of lead lowered IQ levels across Europe, study finds",https://www.theguardian.com/science/2025/jan/06/roman-empires-use-of-lead-lowered-iq-levels-across-europe-study-finds
Spline Distance Fields,https://zone.dog/braindump/spline_fields/
The evolution of a structural code editor,https://crowdhailer.me/2025-01-02/the-evolution-of-a-structural-code-editor/
Synthesizing Music from JSON,https://phoboslab.org/log/2025/01/synth
Nvidia's Project Digits is a 'personal AI supercomputer',https://techcrunch.com/2025/01/06/nvidias-project-digits-is-a-personal-ai-computer/
Soft Metalens for Broadband Ultrasonic Focusing Through Aberration Layers,https://www.nature.com/articles/s41467-024-55022-2
"Parallel-hashmap: drop-in replacement for unordered_map, unordered_set",https://github.com/greg7mdp/parallel-hashmap
2DGD_F0TH A compendium of the community knowledge on game design and development,https://github.com/2DGD-F0TH/2DGD_F0TH
Edwin Cohn and the Harvard Blood Factory,https://www.asimov.press/p/cohn
The Future of Htmx,https://htmx.org/essays/future/
Dtack Grounded archive (1981-1985),http://www.easy68k.com/paulrsm/dg/
Property-Based Testing for the People,https://repository.upenn.edu/entities/publication/72ca3499-c5f6-4fc1-b5a3-9d66d8dd534e
The Art and Science of Mess Management (1981) [pdf],https://www.systemswisdom.com/sites/default/files/Ackoff-1981-Mess-Management_0.pdf
